v1	I(D1)
3.000000000000000e-001	5.129943e-006
3.000100000000000e-001	5.131394e-006
3.000200000000000e-001	5.132846e-006
3.000300000000000e-001	5.134298e-006
3.000400000000000e-001	5.135751e-006
3.000500000000000e-001	5.137204e-006
3.000600000000001e-001	5.138657e-006
3.000700000000001e-001	5.140111e-006
3.000800000000001e-001	5.141565e-006
3.000900000000001e-001	5.143020e-006
3.001000000000001e-001	5.144475e-006
3.001100000000001e-001	5.145931e-006
3.001200000000001e-001	5.147387e-006
3.001300000000001e-001	5.148843e-006
3.001400000000001e-001	5.150299e-006
3.001500000000001e-001	5.151757e-006
3.001600000000002e-001	5.153214e-006
3.001700000000002e-001	5.154672e-006
3.001800000000002e-001	5.156131e-006
3.001900000000002e-001	5.157589e-006
3.002000000000002e-001	5.159049e-006
3.002100000000002e-001	5.160508e-006
3.002200000000002e-001	5.161968e-006
3.002300000000002e-001	5.163429e-006
3.002400000000002e-001	5.164889e-006
3.002500000000002e-001	5.166351e-006
3.002600000000003e-001	5.167813e-006
3.002700000000003e-001	5.169275e-006
3.002800000000003e-001	5.170737e-006
3.002900000000003e-001	5.172200e-006
3.003000000000003e-001	5.173663e-006
3.003100000000003e-001	5.175127e-006
3.003200000000003e-001	5.176591e-006
3.003300000000003e-001	5.178056e-006
3.003400000000003e-001	5.179521e-006
3.003500000000003e-001	5.180986e-006
3.003600000000004e-001	5.182452e-006
3.003700000000004e-001	5.183918e-006
3.003800000000004e-001	5.185385e-006
3.003900000000004e-001	5.186852e-006
3.004000000000004e-001	5.188319e-006
3.004100000000004e-001	5.189787e-006
3.004200000000004e-001	5.191256e-006
3.004300000000004e-001	5.192725e-006
3.004400000000004e-001	5.194193e-006
3.004500000000004e-001	5.195663e-006
3.004600000000005e-001	5.197133e-006
3.004700000000005e-001	5.198604e-006
3.004800000000005e-001	5.200074e-006
3.004900000000005e-001	5.201546e-006
3.005000000000005e-001	5.203017e-006
3.005100000000005e-001	5.204489e-006
3.005200000000005e-001	5.205962e-006
3.005300000000005e-001	5.207435e-006
3.005400000000005e-001	5.208908e-006
3.005500000000005e-001	5.210381e-006
3.005600000000006e-001	5.211856e-006
3.005700000000006e-001	5.213330e-006
3.005800000000006e-001	5.214805e-006
3.005900000000006e-001	5.216281e-006
3.006000000000006e-001	5.217757e-006
3.006100000000006e-001	5.219233e-006
3.006200000000006e-001	5.220709e-006
3.006300000000006e-001	5.222186e-006
3.006400000000006e-001	5.223664e-006
3.006500000000006e-001	5.225142e-006
