time	V(vin)-V(vout)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	6.610885e-007	3.108823e-006
1.586032542663258e-009	1.197193e-006	4.782009e-006
2.758097684553636e-009	2.827463e-006	7.570321e-006
5.102227968334392e-009	7.693439e-006	1.154151e-005
9.790488535895905e-009	2.069608e-005	1.621319e-005
1.429373955646042e-008	3.554417e-005	1.834196e-005
2.068187299403762e-008	5.858548e-005	1.938335e-005
2.772676952317547e-008	8.479909e-005	1.972837e-005
1.078833367491551e-007	3.868583e-004	1.985226e-005
3.366122695987388e-006	1.267007e-002	1.993853e-005
6.624362055225620e-006	2.495316e-002	2.009062e-005
9.882601414463853e-006	3.723612e-002	2.030852e-005
1.314084077370209e-005	4.951896e-002	2.059225e-005
1.639908013294032e-005	6.180167e-002	2.094179e-005
1.965731949217855e-005	7.408425e-002	2.135715e-005
2.291555885141678e-005	8.636671e-002	2.183834e-005
4.581267623084780e-005	1.725589e-001	1.422714e-004
9.160691098970985e-005	3.429449e-001	2.336329e-003
1.125257106681271e-004	4.150376e-001	9.047089e-003
1.292985181842447e-004	4.611311e-001	2.611980e-002
1.487864883419900e-004	4.969672e-001	6.365055e-002
1.748044869599521e-004	5.263254e-001	1.321951e-001
2.002714838347579e-004	5.441884e-001	2.101002e-001
2.353724532184859e-004	5.598765e-001	3.262928e-001
2.914648624815855e-004	5.762909e-001	5.202960e-001
5.559503873924982e-004	6.163728e-001	1.464200e+000
8.027726269595420e-004	6.380787e-001	2.342316e+000
1.052496615978150e-003	6.515820e-001	3.212940e+000
1.287401710014575e-003	6.667106e-001	3.998372e+000
1.673826917978113e-003	6.922321e-001	5.207437e+000
2.064969417196051e-003	7.308860e-001	6.291059e+000
2.695512634476307e-003	7.627473e-001	7.738301e+000
3.160715448331743e-003	7.308578e-001	8.558624e+000
3.497971079930390e-003	7.103910e-001	8.973536e+000
3.749842089719913e-003	7.090054e-001	9.167785e+000
4.054444157458115e-003	7.171345e-001	9.273917e+000
4.374934607008306e-003	7.255230e-001	9.243670e+000
4.755658805545968e-003	7.619276e-001	8.992564e+000
5.372699948244277e-003	8.647051e-001	8.119382e+000
