time	V(vin)-V(vout)	V(vout)
0.000000000000000e+000	3.581679e-007	-3.581679e-007
4.885659351291927e-006	1.841831e-002	1.807262e-007
1.465697805388966e-005	5.525392e-002	1.306820e-006
3.419961545907124e-005	1.289058e-001	2.013445e-005
7.328489026943441e-005	2.758144e-001	4.279652e-004
9.658504861757844e-005	3.615758e-001	2.460834e-003
1.137723323623163e-004	4.196447e-001	9.135400e-003
1.290966718349024e-004	4.614604e-001	2.503049e-002
1.464044456713359e-004	4.940525e-001	5.759908e-002
1.704889845396823e-004	5.226613e-001	1.196246e-001
1.954803290583895e-004	5.413997e-001	1.948769e-001
2.288098945616435e-004	5.573861e-001	3.041376e-001
2.801091716116144e-004	5.734786e-001	4.805466e-001
3.727037835050961e-004	5.925772e-001	8.078645e-001
4.727037835050990e-004	6.066815e-001	1.165953e+000
5.727037835051019e-004	6.168482e-001	1.525459e+000
6.727037835051047e-004	6.247122e-001	1.884225e+000
8.727037835051105e-004	6.365690e-001	2.594414e+000
1.072703783505116e-003	6.454651e-001	3.289205e+000
1.372703783505125e-003	6.555576e-001	4.291508e+000
1.672703783505133e-003	6.631970e-001	5.233053e+000
1.972703783505142e-003	6.691909e-001	6.100905e+000
2.272703783505151e-003	6.739678e-001	6.883470e+000
2.572703783505159e-003	6.777768e-001	7.570439e+000
2.872703783505168e-003	6.807728e-001	8.152829e+000
3.172703783505176e-003	6.830597e-001	8.623059e+000
3.472703783505185e-003	6.847010e-001	8.975027e+000
3.772703783505194e-003	6.857405e-001	9.204170e+000
4.072703783505202e-003	6.862020e-001	9.307525e+000
4.372703783505211e-003	6.860962e-001	9.283752e+000
4.672703783505219e-003	6.854210e-001	9.133162e+000
4.972703783505228e-003	6.841612e-001	8.857699e+000
5.272703783505237e-003	6.822844e-001	8.460934e+000
5.572703783505245e-003	6.797419e-001	7.948008e+000
5.872703783505254e-003	6.764560e-001	7.325585e+000
6.172703783505262e-003	6.723080e-001	6.601779e+000
6.472703783505271e-003	6.671133e-001	5.786077e+000
6.772703783505280e-003	6.605692e-001	4.889269e+000
7.072703783505288e-003	6.521399e-001	3.923434e+000
7.372703783505297e-003	6.407585e-001	2.902086e+000
7.572703783505302e-003	6.303785e-001	2.197991e+000
7.672703783505305e-003	6.237837e-001	1.841064e+000
7.772703783505308e-003	6.157070e-001	1.482117e+000
7.872703783505311e-003	6.052878e-001	1.122530e+000
7.972703783505314e-003	5.903445e-001	7.650125e-001
8.072703783505317e-003	5.622247e-001	4.187454e-001
8.172703783505320e-003	5.012624e-001	1.039267e-001
8.207292278382905e-003	4.493037e-001	2.568110e-002
8.226577411052774e-003	3.966412e-001	5.710549e-003
8.242417738680091e-003	3.415955e-001	1.081062e-003
8.254407668975908e-003	2.972230e-001	2.758977e-004
8.269126548506992e-003	2.419603e-001	6.992443e-005
8.290073676922402e-003	1.630672e-001	1.063859e-005
8.321372077836189e-003	4.509178e-002	9.402655e-007
8.371680788481217e-003	-1.446011e-001	3.962836e-005
8.408436732366978e-003	-2.836480e-001	5.526337e-004
8.432949103861012e-003	-3.787039e-001	3.249565e-003
8.449829385135235e-003	-4.503072e-001	1.126860e-002
8.465782859770357e-003	-5.292519e-001	3.013645e-002
8.483102798450590e-003	-6.292192e-001	6.490160e-002
8.505755063313109e-003	-7.744389e-001	1.248819e-001
8.530687197970621e-003	-9.441672e-001	2.008469e-001
8.566304042689987e-003	-1.195360e+000	3.182100e-001
8.619540291794653e-003	-1.578714e+000	5.018314e-001
8.715735317523565e-003	-2.278971e+000	8.423374e-001
8.815735317523568e-003	-3.009172e+000	1.200567e+000
8.915735317523571e-003	-3.738272e+000	1.560266e+000
9.015735317523574e-003	-4.463297e+000	1.918985e+000
9.215735317523580e-003	-5.894066e+000	2.628505e+000
9.415735317523585e-003	-7.290669e+000	3.322413e+000
9.715735317523594e-003	-9.301776e+000	4.322969e+000
1.001573531752360e-002	-1.118807e+001	5.262327e+000
1.031573531752361e-002	-1.292455e+001	6.127596e+000
1.061573531752362e-002	-1.448855e+001	6.907225e+000
1.091573531752363e-002	-1.585978e+001	7.590946e+000
1.121573531752364e-002	-1.702050e+001	8.169821e+000
1.151573531752365e-002	-1.795576e+001	8.636316e+000
