time	V(vout)	I(D1)
0.000000000000000e+000	9.126758e+000	-2.301354e-004
9.999999999996123e-006	9.126413e+000	-7.659146e-005
3.000000000000225e-005	9.125725e+000	1.810411e-007
1.185714285714322e-004	9.122677e+000	1.836926e-007
2.071428571428621e-004	9.119631e+000	1.862710e-007
2.957142857142921e-004	9.116586e+000	1.887763e-007
3.842857142857220e-004	9.113542e+000	1.912084e-007
4.728571428571520e-004	9.110499e+000	1.935673e-007
5.614285714285820e-004	9.107457e+000	1.958531e-007
6.500000000000117e-004	9.104416e+000	1.980657e-007
9.500000000000203e-004	9.094122e+000	2.049470e-007
1.250000000000029e-003	9.083840e+000	2.108668e-007
1.550000000000038e-003	9.073570e+000	2.157674e-007
1.850000000000046e-003	9.063313e+000	2.195851e-007
2.150000000000055e-003	9.053065e+000	2.222460e-007
2.450000000000063e-003	9.042830e+000	2.236614e-007
2.750000000000072e-003	9.032606e+000	2.237229e-007
2.850000000000075e-003	9.029202e+000	2.234706e-007
2.950000000000078e-003	9.025797e+000	2.281480e-007
3.050000000000080e-003	9.022394e+000	5.968261e-007
3.150000000000083e-003	9.018993e+000	1.888030e-005
3.250000000000086e-003	9.015594e+000	1.476580e-004
3.290586262939904e-003	9.014215e+000	4.054439e-004
3.316043186022771e-003	9.013352e+000	8.777902e-004
3.336433118777266e-003	9.012663e+000	1.703537e-003
3.355750642520652e-003	9.012013e+000	3.209199e-003
3.374613880760380e-003	9.011385e+000	5.927598e-003
3.394270078611109e-003	9.010741e+000	1.100607e-002
3.412976862909964e-003	9.010147e+000	1.953210e-002
3.431978628389301e-003	9.009578e+000	3.450810e-002
3.451137115618563e-003	9.009061e+000	6.013958e-002
3.470906028614815e-003	9.008631e+000	1.043484e-001
3.491647354594396e-003	9.008368e+000	1.804830e-001
3.514042692235986e-003	9.008443e+000	3.122452e-001
3.539464548141094e-003	9.009270e+000	5.436633e-001
3.571769495454569e-003	9.011957e+000	9.609500e-001
3.610933293497570e-003	9.018076e+000	1.580976e+000
3.649425955843999e-003	9.027542e+000	2.207328e+000
3.691058576238485e-003	9.041603e+000	2.782549e+000
3.739739717754820e-003	9.061865e+000	3.219759e+000
3.815046507324865e-003	9.096829e+000	3.477977e+000
3.895167072396066e-003	9.134405e+000	3.369295e+000
3.977185163847471e-003	9.169794e+000	2.984303e+000
4.063526892217534e-003	9.200882e+000	2.435956e+000
4.161487203426198e-003	9.227426e+000	1.768289e+000
4.261487203426201e-003	9.245207e+000	1.130579e+000
4.361487203426204e-003	9.254786e+000	6.047922e-001
