time	V(vout)	V(vt)	V(vx)-V(vout)	I(D1)
0.000000000000000e+000	1.025290e+001	0.000000e+000	-1.025290e+001	-1.070253e-009
9.999999717180685e-010	1.025291e+001	4.500000e-006	-1.025290e+001	6.378223e-008
1.999999943436137e-009	1.025291e+001	8.999999e-006	-1.025290e+001	1.047782e-007
3.999999886872274e-009	1.025291e+001	1.800000e-005	-1.025289e+001	1.377440e-007
7.999999773744548e-009	1.025291e+001	3.600000e-005	-1.025288e+001	1.518922e-007
2.615885708988106e-004	1.025291e+001	1.177148e+000	-9.370048e+000	1.569106e-007
5.231691417978475e-004	1.025291e+001	2.354261e+000	-8.487213e+000	1.634252e-007
7.847497126968844e-004	1.025291e+001	3.531373e+000	-7.604379e+000	1.714361e-007
1.046330283595921e-003	1.025291e+001	4.708486e+000	-6.721545e+000	1.809431e-007
1.307910854494958e-003	1.025291e+001	5.885599e+000	-5.838711e+000	1.919464e-007
1.569491425393995e-003	1.025291e+001	7.062712e+000	-4.955876e+000	2.044459e-007
1.831071996293031e-003	1.025291e+001	8.239824e+000	-4.073042e+000	2.184417e-007
2.131071996293031e-003	1.025291e+001	9.589824e+000	-3.060543e+000	2.416380e-007
2.431071996293031e-003	1.025291e+001	1.093982e+001	-2.048044e+000	2.752369e-007
2.631071996293030e-003	1.025291e+001	1.183982e+001	-1.373044e+000	3.084537e-007
2.731071996293030e-003	1.025291e+001	1.228982e+001	-1.035544e+000	3.308427e-007
2.831071996293030e-003	1.025291e+001	1.273982e+001	-6.980448e-001	3.595369e-007
2.931071996293030e-003	1.025291e+001	1.318982e+001	-3.605471e-001	3.984792e-007
3.031071996293030e-003	1.025293e+001	1.363982e+001	-2.309418e-002	2.377772e-006
3.131071996293029e-003	1.025390e+001	1.408982e+001	3.117609e-001	1.137153e-004
3.171828591043919e-003	1.025803e+001	1.427323e+001	4.381275e-001	5.854570e-004
3.194446867885239e-003	1.026651e+001	1.437501e+001	4.914417e-001	1.556732e-003
3.217458354462529e-003	1.028271e+001	1.447856e+001	5.251598e-001	3.408164e-003
3.243107781582840e-003	1.030610e+001	1.459398e+001	5.482693e-001	6.083528e-003
3.269506022196798e-003	1.033329e+001	1.471278e+001	5.636091e-001	9.203815e-003
3.322302503424714e-003	1.039153e+001	1.495036e+001	5.838184e-001	1.588100e-002
3.376292201587446e-003	1.045363e+001	1.519331e+001	5.975800e-001	2.296174e-002
3.532503310158812e-003	1.063966e+001	1.589627e+001	6.201630e-001	4.416578e-002
3.742145694421839e-003	1.089484e+001	1.683966e+001	6.354806e-001	7.329912e-002
3.951788078684866e-003	1.115077e+001	1.778305e+001	6.487516e-001	1.025192e-001
4.161430462947893e-003	1.140747e+001	1.872644e+001	6.599760e-001	1.318261e-001
4.371072847210920e-003	1.166491e+001	1.966983e+001	6.691537e-001	1.612198e-001
4.580715231473947e-003	1.192311e+001	2.061322e+001	6.762848e-001	1.907002e-001
4.790357615736974e-003	1.218206e+001	2.155661e+001	6.813694e-001	2.202674e-001
5.000000000000000e-003	1.244177e+001	2.250000e+001	6.844072e-001	2.499214e-001
5.207142857142858e-003	1.218520e+001	2.156786e+001	6.813106e-001	2.206254e-001
5.414285714285715e-003	1.192933e+001	2.063571e+001	6.762748e-001	1.914114e-001
5.621428571428573e-003	1.167419e+001	1.970357e+001	6.692996e-001	1.622792e-001
5.828571428571431e-003	1.141975e+001	1.877143e+001	6.603852e-001	1.332289e-001
6.035714285714288e-003	1.116604e+001	1.783929e+001	6.495316e-001	1.042605e-001
6.242857142857146e-003	1.091303e+001	1.690714e+001	6.367386e-001	7.537391e-002
6.450000000000004e-003	1.066075e+001	1.597500e+001	6.220064e-001	4.656922e-002
6.550000000000004e-003	1.054116e+001	1.552500e+001	6.089115e-001	3.292090e-002
6.650000000000004e-003	1.042472e+001	1.507500e+001	5.872622e-001	1.963204e-002
6.750000000000004e-003	1.031523e+001	1.462500e+001	5.467834e-001	7.125322e-003
